MODELO,MARCA,TIPOCOMPRA,ANIOS,KILOMETRAJE,CIUDAD,TIPOPRECIO,PRECIO
Great Wall,H5 Elite,GOLD,2016,70000,Quito,Negociable,13950
Mazda,CX-3 Full,STANDAR,2018,50000,Quito,Negociable,22300
Ford,F-350 Super Duty,STANDAR,2010,58000,Quito,Negociable,26700
Chevrolet,Tahoe Híbrido,STANDAR,2009,78000,Quito,Negociable,26500
Chevrolet,Spark GT,STANDAR,2015,109000,Quito,Negociable,10900
Chery,Tiggo 5,STANDAR,2019,50000,Quito,Negociable,15300
Mitsubishi,Montero 5P,STANDAR,2005,134000,Quito,Negociable,15800
Chevrolet,Sail,STANDAR,2017,49000,Quito,Negociable,11800
Kia,Picanto,STANDAR,2020,10000,Quito,Negociable,12900
Renault,Logan Dynamique,GOLD,2012,150000,Quito,Negociable,9200
Hyundai,Santa Fe 4x4,GOLD,2013,112500,Cuenca,Negociable,22800
Kia,Picanto R,GOLD,2019,19250,Quito,Negociable,13390
Kia,Picanto R,GOLD,2019,21400,Quito,Fijo,12999
Chevrolet,Aveo Family,GOLD,2015,78320,Quito,Negociable,12750
Chevrolet,Spark GT,GOLD,2018,35250,Quito,Negociable,12490
Chevrolet,Sail,GOLD,2014,76900,Quito,Negociable,12490
Chevrolet,Sail,GOLD,2013,72500,Quito,Negociable,12290
Chevrolet,Sail,GOLD,2013,102150,Quito,Negociable,11490
Chevrolet,Optra Advance,GOLD,2009,97520,Quito,Negociable,10500
Kia,Rio Stylus,GOLD,2013,88820,Quito,Negociable,9999
Chevrolet,Aveo Family,GOLD,2013,133250,Quito,Negociable,9999
Volkswagen,Touareg,TOP,2009,134000,Quito,Negociable,25800
Hyundai,Tucson IX,STANDAR,2015,91000,Quito,Negociable,20900
Kia,Sportage R,STANDAR,2014,78000,Cuenca,Negociable,19700
Peugeot,207 Compact,STANDAR,2011,87000,Quito,Negociable,6400
Toyota,RAV 4,GOLD,2006,131000,Quito,Negociable,14200
Mercedes Benz,320E,GOLD,1998,105000,Quito,Negociable,15900
Chevrolet,Spark,GOLD,2010,0,Quito,Negociable,7190
Chevrolet,Sail,GOLD,2012,112000,Quito,Negociable,8900
Chevrolet,Sail,STANDAR,2012,111000,Quito,Negociable,9200
Chevrolet,Aveo Activo,GOLD,2011,116000,Cuenca,Negociable,10800
Chevrolet,Sail,GOLD,2017,32000,Quito,Negociable,11700
Peugeot,301,GOLD,2019,20000,Quito,Negociable,15900
Ford,Explorer,STANDAR,2013,102000,Quito,Negociable,27900
BMW,X5 3.0i,GOLD,2006,135000,Quito,Negociable,15900
Chevrolet,Sail,GOLD,2016,64000,Quito,Negociable,10600
Toyota,Prado 3P,GOLD,2007,130000,Quito,Negociable,18500
Zotye,Z500,GOLD,2016,32800,Quito,Fijo,13990
Nissan,Xtrail Advance,GOLD,2016,85000,Quito,Negociable,26900
Nissan,X-Trail Exclusive,GOLD,2016,85000,Quito,Negociable,26900
Nissan,X-Trail,GOLD,2016,85000,Quito,Negociable,26900
Chevrolet,Grand Vitara SZ 2.4 4x4,GOLD,2011,146497,Cuenca,Negociable,15200
Volkswagen,Golf,STANDAR,1994,55000,Quito,Fijo,4900
Ford,Mustang GT,TOP,1995,65000,Quito,Negociable,30000
Chevrolet,Grand Vitara 3P Sport,STANDAR,2014,150000,Quito,Fijo,14900
Mazda,3,STANDAR,2009,220000,Quito,Fijo,10900
Renault,Logan,GOLD,2012,202581,Quito,Fijo,8900
Chevrolet,LUV D-MAX TM 2.4 4X2,GOLD,2013,64501,Ambato,Fijo,18990
Chevrolet,LUV D-MAX TM 3.0 4X4 DIESEL CD,GOLD,2013,176962,Ambato,Fijo,22990
Great Wall,H6,STANDAR,2018,27560,Quito,Negociable,16990
Kia,Rio LX AC,GOLD,2020,3820,Ambato,Fijo,17990
Kia,Rio Stylus,GOLD,2013,146000,Quito,Negociable,8900
Volkswagen,Amarok,GOLD,2012,98291,Ambato,Fijo,18690
Chevrolet,Aveo Emotion,GOLD,2012,105000,Quito,Negociable,10900
Chevrolet,Aveo Family,STANDAR,2012,112000,Quito,Negociable,9200
Nissan,X-Trail,GOLD,2002,245558,Quito,Fijo,9900
Chery,Tiggo,GOLD,2009,139000,Quito,Negociable,8400
BMW,X6 xDRIVE 35i,TOP,2018,12000,Guayaquil,Negociable,135500
Volkswagen,Amarok,GOLD,2013,129086,Ambato,Fijo,19990
Chevrolet,Spark Life,GOLD,2019,16000,Quito,Negociable,9400
Chevrolet,LUV Dmax CD Diesel,GOLD,2015,90000,Quito,Negociable,24600
Chevrolet,Grand Vitara SZ 2.4,GOLD,2016,85000,Quito,Negociable,16500
Chevrolet,Grand Vitara SZ 2.4,GOLD,2016,80000,Quito,Negociable,16500
Chevrolet,Aveo Emotion GLS,GOLD,2017,27000,Quito,Negociable,14500
Chevrolet,Grand Vitara 5P,GOLD,2011,139000,Quito,Negociable,10900
Peugeot,206,GOLD,2012,135000,Quito,Negociable,9700
Volkswagen,Jetta,GOLD,2016,79000,Quito,Negociable,16400
Chevrolet,Aveo Emotion Advance,GOLD,2012,105000,Quito,Negociable,10900
Hyundai,GRAN I10,GOLD,2015,78526,Ambato,Fijo,10990
Hyundai,Sonata Hybrid,GOLD,2015,103000,Cuenca,Negociable,17900
Chevrolet,LUV D-MAX 3.5L V6 CD GLS TM 4X,GOLD,2008,145000,Quito,Negociable,15900
Kia,Picanto R,GOLD,2019,17750,Quito,Negociable,12490
Mercedes Benz,250,GOLD,1967,1,Quito,Negociable,26990
Toyota,Fortuner 2.7,GOLD,2011,157100,Quito,Negociable,25690
Suzuki,Grand Vitara SZ 2.4,GOLD,2018,53116,Quito,Negociable,19490
Toyota,Hilux CD 4x2,GOLD,2008,153120,Quito,Negociable,17990
Volkswagen,New Jetta,GOLD,2014,78000,Quito,Negociable,17690
Chevrolet,Grand Vitara 5P,GOLD,2013,79500,Quito,Negociable,16690
Chevrolet,Grand Vitara SZ,GOLD,2010,95000,Quito,Negociable,14200
Kia,Picanto R,GOLD,2019,8280,Quito,Negociable,13490
Kia,Picanto R,GOLD,2019,24600,Quito,Negociable,13490
Toyota,Highlander Hibrido,GOLD,2010,83000,Quito,Negociable,19600
Kia,Rio,GOLD,2017,19000,Quito,Negociable,15600
Honda,CR-Z Hibrido,GOLD,2011,77000,Quito,Negociable,15900
Kia,Rio R,GOLD,2017,19000,Quito,Negociable,15600
Toyota,Prius C Sport,GOLD,2014,112000,Quito,Negociable,13400
Hyundai,Sonata Hybrid,GOLD,2016,71000,Quito,Negociable,18400
Chevrolet,Captiva,GOLD,2014,75000,Quito,Negociable,15600
Mazda,3,GOLD,2009,163636,Quito,Fijo,11900
Hyundai,GRAN I10,GOLD,2018,79000,Quito,Negociable,10900
Mazda,BT-50 CD 4x4 Diesel,STANDAR,2013,136000,Quito,Negociable,18500
Chevrolet,Captiva Sport,GOLD,2014,75000,Quito,Negociable,15600
Honda,Pilot,GOLD,2016,36000,Quito,Negociable,44900
Toyota,Prius C Sport,GOLD,2017,51000,Quito,Negociable,16900
Suzuki,Grand Vitara SZ 2.4,GOLD,2015,82000,Quito,Negociable,15600
Suzuki,Grand Vitara 5P,GOLD,2015,82000,Quito,Negociable,15600
Kia,Picanto R,GOLD,2019,46000,Quito,Negociable,12700
Kia,Picanto,GOLD,2019,46000,Quito,Negociable,12200
Hyundai,Sonata,GOLD,2016,71000,Quito,Negociable,18400
Mazda,BT 50 Outdoors,GOLD,2016,143000,Quito,Negociable,20900
Mazda,BT-50 CD 4x4,GOLD,2016,143000,Quito,Negociable,20900
Mazda,BT-50 4x4 Diesel,GOLD,2016,143000,Quito,Negociable,20900
Volkswagen,Polo,GOLD,2018,41000,Quito,Negociable,16900
Ford,Fusion,STANDAR,2014,127000,Quito,Negociable,17500
Nissan,X-Trail,GOLD,2015,90000,Quito,Negociable,22400
Chevrolet,Grand Vitara SZ 2.4,GOLD,2015,82000,Quito,Negociable,15600
Toyota,New Fortuner,GOLD,2017,90624,Cuenca,Negociable,38900
Great Wall,M4,GOLD,2019,21648,Quito,Fijo,14900
Toyota,Fortuner 2.7,GOLD,2016,68000,Quito,Negociable,33900
Chevrolet,D-MAX CD 3.5 V6,STANDAR,2008,506000,Quito,Negociable,9900
Chevrolet,Aveo Family,GOLD,2016,44164,Quito,Negociable,11400
Chevrolet,Sail,GOLD,2018,107000,Quito,Negociable,12900
Mitsubishi,Montero 5P,GOLD,2003,250000,Quito,Negociable,14900
Chevrolet,Sail,GOLD,2017,69250,Quito,Negociable,11900
Peugeot,207 Compact,GOLD,2009,100363,Quito,Negociable,9400
Nissan,SE Sport 2.0 MT,GOLD,2013,114268,Quito,Negociable,13200
Ford,Explorer XLT,GOLD,2013,107000,Quito,Negociable,27400
Chevrolet,Tracker,GOLD,2018,29000,Quito,Negociable,18900
Chevrolet,Grand Vitara SZ,GOLD,2015,80000,Quito,Negociable,15900
Chevrolet,Grand Vitara SZ,GOLD,2008,140000,Quito,Negociable,10700
Jeep,Compass Trailhawk,GOLD,2019,2000,Quito,Negociable,42400
Chevrolet,Grand Vitara SZ,GOLD,2013,17200,Cuenca,Negociable,14700
BMW,X5 3.0L,GOLD,2012,104000,Quito,Negociable,38900
Chevrolet,LUV Dmax CS Diesel,GOLD,2015,177000,Cuenca,Negociable,17900
Chevrolet,Grand Vitara SZ,GOLD,2014,69000,Cuenca,Negociable,15800
Toyota,RAV 4,GOLD,2008,163000,Quito,Negociable,12900
Ford,Edge,GOLD,2018,21000,Quito,Negociable,29900
Renault,Megane,GOLD,2002,162000,Quito,Negociable,6900
Chevrolet,Aveo Emotion GLS,GOLD,2009,204000,Cuenca,Negociable,9900
Fiat,Fiorino,GOLD,2005,184000,Quito,Negociable,7900
Toyota,Prius C Sport,GOLD,2013,123000,Quito,Negociable,13900
Kia,Picanto R,GOLD,2020,70000,Quito,Negociable,13900
Chevrolet,Spark GT,GOLD,2020,7000,Quito,Negociable,11900
Chevrolet,Sail,GOLD,2015,142000,Quito,Negociable,9900
Ford,F-150 FX4,GOLD,2010,138000,Quito,Negociable,24900
Honda,CR-V,GOLD,2015,57000,Quito,Negociable,25900
Fiat,Uno,GOLD,1989,1111111,Cuenca,Negociable,1900
Renault,Sandero Dynamic,GOLD,2015,73000,Cuenca,Negociable,10200
Chevrolet,Sail,GOLD,2015,52000,Cuenca,Negociable,12800
Renault,Logan,GOLD,2012,118543,Quito,Negociable,8500
Ford,Focus,GOLD,2013,87843,Quito,Negociable,13400
Kia,Picanto,GOLD,2020,7300,Quito,Negociable,12900
Mercedes Benz,ML 350 AMG,GOLD,2006,163000,Cuenca,Negociable,25800
Peugeot,307 XS,GOLD,2003,220000,Cuenca,Negociable,6400
Mitsubishi,Montero 3P,GOLD,1995,448000,Cuenca,Negociable,7900
Chevrolet,Sail,GOLD,2018,37000,Quito,Negociable,13900
Chevrolet,Trailblazer,GOLD,2018,60000,Quito,Negociable,38900
Fiat,Uno Vivace,GOLD,2013,124000,Quito,Negociable,9900
BMW,X5 3.0L,GOLD,2003,199000,Quito,Negociable,20900
Ford,Explorer,GOLD,1998,150000,Quito,Negociable,7500
Nissan,X Trail Sense,GOLD,2018,55000,Quito,Negociable,26600
Haval,M4,GOLD,2019,14000,Quito,Negociable,13900
Honda,CR-V,GOLD,2007,157000,Quito,Negociable,15900
Chevrolet,LUV Dmax CD Diesel,GOLD,2018,60000,Cuenca,Negociable,29700
BMW,330i,GOLD,2006,145000,Ambato,Negociable,21000
Mazda,BT-50 CD 4x4 Turbo Diesel,GOLD,2018,3400,Quito,Negociable,38800
Renault,LOGAN EXPRESSION 1.6,GOLD,2018,36000,Guayaquil,Negociable,11800
Nissan,X Trail Sense,GOLD,2016,72000,Ambato,Negociable,25000
Great Wall,H6,GOLD,2019,52000,Quito,Negociable,32100
Hyundai,Ioniq Hybrid,GOLD,2018,800,Quito,Negociable,21400
Lexus,RX 450 Hibrido,STANDAR,2010,91000,Quito,Negociable,28500
Nissan,Tiida,GOLD,2015,81000,Quito,Negociable,11900
Volkswagen,CrossFox,GOLD,2009,219842,Quito,Fijo,10690
Honda,CR-V,GOLD,2002,263000,Quito,Fijo,9900
Chevrolet,Trailblazer,GOLD,2017,90000,Quito,Fijo,37500
Hyundai,Ioniq Limited,GOLD,2018,18000,Quito,Negociable,19400
Hyundai,Ioniq Hybrid,GOLD,2018,18000,Quito,Negociable,19400
Nissan,Frontier NP300,GOLD,2010,200000,Quito,Negociable,13800
Nissan,X-Trail Exclusive,GOLD,2016,80000,Quito,Negociable,27900
Chevrolet,Grand Vitara SZ Next,GOLD,2015,86200,Quito,Negociable,15800
Volkswagen,Polo,GOLD,2018,29600,Quito,Fijo,16500
Chevrolet,Aveo Family,GOLD,2019,29000,Quito,Fijo,13500
Volkswagen,Polo,GOLD,2018,40718,Quito,Fijo,14690
Volkswagen,Polo,GOLD,2018,24372,Quito,Fijo,16690
Kia,SPORTAGE GT LINE AT,GOLD,2016,64081,Cuenca,Negociable,29600
Hyundai,Tucson IX,GOLD,2013,141698,Cuenca,Negociable,19500
Toyota,Fortuner 2.7,GOLD,2015,149824,Cuenca,Negociable,30900
Chevrolet,Cruze,GOLD,2013,72984,Quito,Fijo,15500
Kia,Sportage R,GOLD,2011,185000,Quito,Fijo,17900
Mazda,626,GOLD,1979,15000,Quito,Negociable,4900
Chevrolet,Sail,GOLD,2014,99100,Quito,Fijo,10800
Chevrolet,Beat,GOLD,2020,12000,Quito,Negociable,13800
Toyota,NEW RAV4 2.5,GOLD,2014,83339,Ambato,Fijo,24990
Chevrolet,Grand Vitara XL7,GOLD,2008,162376,Ambato,Fijo,10990
Volkswagen,Jetta,GOLD,2015,78829,Quito,Fijo,16800
Mercedes Benz,E350,STANDAR,2019,15000,Quito,Negociable,87500
Chevrolet,Optra Advance,GOLD,2013,108770,Quito,Negociable,11500
Chery,Practivan 11,GOLD,2019,154361,Quito,Negociable,8990
Chevrolet,Silverado,GOLD,2002,161018,Cuenca,Negociable,12500
Ford,F150 DC 4X2,STANDAR,2012,139300,Quito,Negociable,21990
Citroen,C-ELYSEE,STANDAR,2018,63000,Quito,Negociable,14990
Chevrolet,Aveo Activo,GOLD,2011,120615,Cuenca,Negociable,10200
Kia,Picanto,GOLD,2019,45497,Quito,Negociable,11500
Hyundai,H100,GOLD,2001,439101,Quito,Fijo,8900
Chevrolet,Aveo Activo,GOLD,2009,118000,Quito,Negociable,7990
Peugeot,207 Compact,GOLD,2012,61000,Quito,Negociable,9300
Toyota,Prius Hybrido,STANDAR,2010,147801,Quito,Fijo,12939
Toyota,Fortuner 2.7,STANDAR,2017,106091,Otros,Fijo,39139
Toyota,Corolla 1.6,STANDAR,2009,152010,Quito,Fijo,12900
Toyota,4 Runner,STANDAR,2007,202201,Quito,Fijo,25600
Volkswagen,JETTA EUROPA 2.0,STANDAR,2011,77701,Quito,Fijo,13600
Toyota,Prius,STANDAR,2015,80202,Quito,Fijo,17139
Toyota,RAV 4,STANDAR,2019,15300,Quito,Fijo,33739
Toyota,Fortuner 2.7,STANDAR,2012,104401,Quito,Fijo,27139
Toyota,Corolla 1.8,STANDAR,2005,210202,Quito,Fijo,10200
Toyota,RAV 4,STANDAR,2020,37602,Otros,Fijo,39539
Toyota,1000,STANDAR,2020,10600,Quito,Fijo,25800
Chevrolet,Sail,STANDAR,2018,67203,Quito,Fijo,14839
Toyota,NEW RAV4 AC 2.0 5P,STANDAR,2015,123601,Quito,Fijo,27839
Volkswagen,Gol Power,STANDAR,2011,37405,Otros,Fijo,12300
Toyota,Prius C Sport,STANDAR,2015,37874,Quito,Fijo,17239
Toyota,Prius Hybrido,STANDAR,2015,50205,Quito,Fijo,19939
Chevrolet,Spark GT,STANDAR,2020,22662,Otros,Fijo,13239
Toyota,Yaris,STANDAR,2020,6201,Quito,Fijo,20539
Renault,Koleos,STANDAR,2011,49780,Otros,Fijo,15600
Honda,Accord,GOLD,2009,133899,Quito,Negociable,14900
Chevrolet,Sail,GOLD,2019,25600,Cuenca,Negociable,13500
Nissan,Tiida,GOLD,2013,127500,Cuenca,Negociable,10500
Nissan,Murano,GOLD,2013,53000,Cuenca,Negociable,25500
Hyundai,Santa Fe 4x2,GOLD,2010,241000,Quito,Negociable,12900
Honda,CR-V,GOLD,2013,58000,Cuenca,Negociable,24500
Kia,Cerato,GOLD,2015,78860,Cuenca,Negociable,15800
Mazda,BT-50 CD 4x2,GOLD,2014,122130,Cuenca,Negociable,18200
Mercedes Benz,280,GOLD,1977,326257,Cuenca,Negociable,9800
Chevrolet,Silverado,GOLD,2003,249675,Cuenca,Negociable,12400
Dodge,Nitro,GOLD,2011,91200,Cuenca,Negociable,31800
Volkswagen,Bora Style Active 2.5 4P,GOLD,2007,107000,Quito,Negociable,11900
Zotye,Z100,GOLD,2019,11197,Quito,Fijo,8990
Mazda,NEW 3,GOLD,2015,78000,Quito,Negociable,18600
Mazda,3,GOLD,2015,78000,Quito,Negociable,18600
Toyota,Yaris,GOLD,2019,14848,Quito,Fijo,17990
Volkswagen,JETTA EUROPA 2.0,GOLD,2008,163000,Quito,Negociable,9900
Volkswagen,Gol Power,GOLD,2009,192922,Ambato,Fijo,9990
Foton,Tuland C,GOLD,2019,5555,Ambato,Fijo,27000
Chevrolet,Grand Vitara SZ,GOLD,2018,56000,Quito,Negociable,18400
Mazda,CX-3,GOLD,2018,39517,Ambato,Fijo,23690
Kia,Rio R,GOLD,2018,94253,Ambato,Fijo,16490
Suzuki,Grand Vitara SZ,GOLD,2015,74067,Cuenca,Negociable,15600
Kia,Sportage R GTI LX AC,GOLD,2017,54858,Cuenca,Negociable,26400
Mazda,BT 50 Outdoors,GOLD,2017,90000,Quito,Negociable,23600
Mazda,BT-50 4x4,GOLD,2017,90000,Quito,Negociable,23600
Mazda,BT-50 4x4 Diesel,GOLD,2017,90000,Quito,Negociable,23600
Toyota,Corolla 1.6,GOLD,2007,155000,Guayaquil,Negociable,9000
Kia,Sportage R,TOP,2015,72000,Quito,Fijo,19800
Great Wall,HAVAL H6 SUPREME,GOLD,2019,33173,Quito,Fijo,30990
Toyota,NEW RAV4 2.5,GOLD,2014,83339,Quito,Fijo,24990
Volkswagen,Jetta Trendline TM,GOLD,2014,99600,Cuenca,Negociable,16800
Volkswagen,Escarabajo,GOLD,1997,64313,Cuenca,Negociable,9900
Hyundai,i10,GOLD,2014,116000,Loja,Negociable,8900
Ford,Sport Track,GOLD,2007,148000,Quito,Negociable,13800
Hyundai,H1,GOLD,2015,108724,Cuenca,Negociable,29200
Ford,F-150 FX4,GOLD,2006,226603,Ambato,Fijo,19500
Porsche,Cayenne S Hybrid,GOLD,2011,96950,Ambato,Fijo,55000
Kia,Cerato R,GOLD,2015,69000,Quito,Negociable,15400
Mazda,CX-5,GOLD,2015,91000,Quito,Negociable,24500
Hyundai,Accent New,GOLD,2016,78000,Quito,Negociable,15900
Renault,Megane,GOLD,2006,204620,Quito,Negociable,7200
Ford,Explorer Eddie Bauer,GOLD,2006,244340,Quito,Negociable,11400
Chevrolet,Grand Vitara 5P,GOLD,2011,119277,Quito,Negociable,13900
Renault,Sandero,GOLD,2015,124870,Quito,Negociable,11400
Chevrolet,Aveo Emotion GLS,GOLD,2016,87878,Quito,Negociable,13300
Zotye,T600,GOLD,2018,34794,Quito,Negociable,15900
Volkswagen,Gol,GOLD,2005,209671,Quito,Negociable,6900
Toyota,Hilux CD 4x4,GOLD,2015,115000,Quito,Negociable,33900
Volkswagen,Jetta,GOLD,2008,207000,Quito,Fijo,9900
Hyundai,Creta,GOLD,2018,77000,Quito,Negociable,19900
Hyundai,Creta,GOLD,2019,30000,Quito,Negociable,21500
Hyundai,GRAN I10,GOLD,2019,28000,Quito,Negociable,13300
Nissan,X-Trail,GOLD,2009,160000,Quito,Negociable,14800
Citroen,C3,GOLD,2008,190000,Quito,Negociable,8300
International,Scout,GOLD,1978,38000,Quito,Negociable,16900
International,L-110,GOLD,1964,1,Quito,Negociable,11500
Mercedes Benz,C250,GOLD,2014,55000,Quito,Negociable,51700
Chevrolet,Grand Vitara XL7,GOLD,2006,180000,Quito,Negociable,10900
Nissan,Xtrail Classic,GOLD,2009,160000,Quito,Negociable,14500
Mitsubishi,Outlander,GOLD,2006,189000,Quito,Negociable,13600
BMW,740i,GOLD,1998,170000,Quito,Negociable,16700
Daihatsu,Terios,GOLD,2008,180000,Quito,Negociable,10900
Hyundai,Accent,GOLD,2016,37000,Quito,Negociable,16200
Hyundai,Accent New,GOLD,2016,37000,Quito,Negociable,16200
Chevrolet,Sail,GOLD,2015,63000,Quito,Negociable,11900
Great Wall,Voleex C30,GOLD,2019,19000,Quito,Negociable,12900
Renault,Megane,GOLD,2003,250000,Quito,Fijo,7900200
Chevrolet,Sail,GOLD,2016,121000,Quito,Negociable,11900
